ts,inst_id,ccy,interval_h,funding_rate,cap,floor,at_cap_live,at_cap_sett,borrowable,borrow_rate,borrow_quota,perp_last,spot_last
2026-07-23T22:16:37+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0058518090956289,0.01,-0.01,False,False,True,0.00572616,19200.0,0.1301,0.1324
2026-07-23T22:16:37+00:00,O-USDT-SWAP,O,2.0,-0.0009310113800729,0.01,-0.01,False,False,False,,0.0,0.5483,
2026-07-23T22:27:04+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0058117678448317,0.01,-0.01,False,False,True,0.00572616,19200.0,0.1301,0.1329
2026-07-23T22:27:04+00:00,O-USDT-SWAP,O,2.0,-0.0010593670061612,0.01,-0.01,False,False,False,,0.0,0.5504,
2026-07-23T22:48:17+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0057169207732318,0.01,-0.01,False,False,True,0.00572616,19200.0,0.1304,0.1332
2026-07-23T22:48:17+00:00,O-USDT-SWAP,O,2.0,-0.0013836212822589,0.01,-0.01,False,False,False,,0.0,0.5464,
2026-07-23T22:58:46+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0055164081197601,0.01,-0.01,False,False,True,0.00572616,19200.0,0.1308,0.1335
2026-07-23T22:58:46+00:00,O-USDT-SWAP,O,2.0,-0.001475457587445,0.01,-0.01,False,False,False,,0.0,0.5481,
2026-07-23T23:09:15+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0050829443655102,0.01,-0.01,False,False,True,0.00572616,19200.0,0.1298,0.1316
2026-07-23T23:09:15+00:00,O-USDT-SWAP,O,2.0,-0.0014949315811214,0.01,-0.01,False,False,False,,0.0,0.5483,
2026-07-23T23:19:43+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0046300119621018,0.01,-0.01,False,False,True,0.00572616,19200.0,0.1301,0.1319
2026-07-23T23:19:43+00:00,O-USDT-SWAP,O,2.0,-0.0015628133932355,0.01,-0.01,False,False,False,,0.0,0.5441,
2026-07-23T23:30:11+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0041602831372977,0.01,-0.01,False,False,True,0.00572616,19200.0,0.1298,0.1316
2026-07-23T23:30:11+00:00,O-USDT-SWAP,O,2.0,-0.0015956017110772,0.01,-0.01,False,False,False,,0.0,0.545,
2026-07-23T23:40:42+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0037332738649917,0.01,-0.01,False,False,True,0.00572616,19200.0,0.129,0.1304
2026-07-23T23:40:42+00:00,O-USDT-SWAP,O,2.0,-0.001635030683614,0.01,-0.01,False,False,False,,0.0,0.5458,
2026-07-23T23:51:10+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0034626972763506,0.01,-0.01,False,False,True,0.00572616,19200.0,0.1291,0.1311
2026-07-23T23:51:10+00:00,O-USDT-SWAP,O,2.0,-0.0017191803336307,0.01,-0.01,False,False,False,,0.0,0.544,
2026-07-24T00:01:38+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0032985028442709,0.01,-0.01,False,False,True,0.00572616,19200.0,0.1276,0.1297
2026-07-24T00:01:38+00:00,O-USDT-SWAP,O,2.0,-0.0018702793940374,0.01,-0.01,False,False,False,,0.0,0.5348,
2026-07-24T00:12:07+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0038962801050074,0.01,-0.01,False,False,True,0.00572616,19200.0,0.133,0.1386
2026-07-24T00:12:07+00:00,O-USDT-SWAP,O,2.0,-0.0019381721614041,0.01,-0.01,False,False,False,,0.0,0.5273,
2026-07-24T00:22:35+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0047425139141032,0.01,-0.01,False,False,True,0.00572616,19200.0,0.129,0.1356
2026-07-24T00:22:35+00:00,O-USDT-SWAP,O,2.0,-0.0019402079691359,0.01,-0.01,False,False,False,,0.0,0.5235,
2026-07-24T00:33:04+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0054005448047284,0.01,-0.01,False,False,True,0.00572616,19200.0,0.1289,0.1323
2026-07-24T00:33:04+00:00,O-USDT-SWAP,O,2.0,-0.0018616867262826,0.01,-0.01,False,False,False,,0.0,0.5052,
