symbol,announce_ts,delist_ts,notice_h,pre_abn_pct,post_abn_pct,incremental_pct,pre_turnover_usd,post_turnover_usd,bars_pre,bars_post
PIGGYUSDT,2025-12-05T13:50:19+00:00,2025-12-07T09:00:00+00:00,43.2,-66.215,-62.402,3.813,16337926.0,2876168.0,48,44
ELXUSDT,2025-12-02T09:07:27+00:00,2025-12-04T09:00:00+00:00,47.9,-48.694,-0.662,48.032,5151992.0,1260872.0,48,48
RIFUSDT,2025-11-28T09:27:15+00:00,2025-12-01T09:00:00+00:00,71.5,-0.097,-1.011,-0.915,152503.0,94073.0,48,48
MYROUSDT,2025-11-28T09:27:33+00:00,2025-12-01T09:00:00+00:00,71.5,-3.623,-3.705,-0.082,699722.0,213112.0,48,48
QUICKUSDT,2025-11-28T09:27:04+00:00,2025-12-01T09:00:00+00:00,71.5,-3.415,-4.789,-1.373,626616.0,89635.0,48,48
MILKUSDT,2025-11-28T09:26:53+00:00,2025-12-01T09:00:00+00:00,71.6,-7.124,-10.514,-3.391,352073.0,116863.0,48,48
JOEUSDT,2025-11-12T10:13:16+00:00,2025-11-14T10:00:00+00:00,47.8,-3.932,-7.951,-4.019,494691.0,259996.0,48,47
FORTHUSDT,2025-11-12T10:13:07+00:00,2025-11-14T10:00:00+00:00,47.8,-0.025,-0.236,-0.211,260559.0,146669.0,48,48
AIUSDT,2025-11-12T10:12:46+00:00,2025-11-14T10:00:00+00:00,47.8,-3.318,-3.969,-0.652,526930.0,464040.0,48,47
FLMUSDT,2025-10-30T09:57:54+00:00,2025-11-01T09:00:00+00:00,47.0,14.373,11.347,-3.026,74833200.0,10746232.0,48,48
VOXELUSDT,2025-10-28T09:33:43+00:00,2025-10-30T09:00:00+00:00,47.4,-2.323,1.668,3.991,683978.0,1409331.0,48,47
HIFIUSDT,2025-10-28T09:34:23+00:00,2025-10-30T09:00:00+00:00,47.4,-14.462,-1.725,12.737,2041047.0,1093400.0,48,47
BADGERUSDT,2025-10-23T09:08:20+00:00,2025-10-25T09:00:00+00:00,47.9,-4.9,-5.54,-0.64,1812027.0,440980.0,48,47
